timestamp,route_id,latitude,longitude,weather,temperature_C,humidity_%,traffic_density,road_type,road_condition,num_lanes,speed_limit,vehicle_count,visibility_km,time_of_day,day_of_week,holiday,past_accidents,population_density,light_condition,risk_level
2023-01-01 00:00:00,572,14.3026,78.6873,Foggy,35.3,95,120,Residential,Fair,1,40,191,7.4,Morning,Tue,0,9,659,Dark,Medium
2023-01-01 01:00:00,688,24.4587,71.9512,Rainy,36.8,72,154,Residential,Fair,6,100,228,8.0,Morning,Sun,0,0,1375,Street Light,Medium
2023-01-01 02:00:00,936,9.5588,72.7633,Snowy,19.1,63,186,City,Good,2,100,11,4.3,Morning,Sun,0,8,1109,Daylight,High
2023-01-01 03:00:00,840,15.1109,79.6155,Foggy,27.6,50,110,City,Poor,3,40,270,4.7,Evening,Thu,0,1,166,Dark,Medium
2023-01-01 04:00:00,498,35.3476,75.0886,Sunny,31.7,63,153,City,Good,3,80,339,7.0,Morning,Wed,0,3,159,Street Light,Low
2023-01-01 05:00:00,649,19.7394,94.1893,Rainy,24.3,84,285,Rural,Poor,1,60,240,3.6,Afternoon,Mon,0,2,734,Dark,High
2023-01-01 06:00:00,839,30.2346,94.599,Cloudy,32.0,56,241,Highway,Poor,1,60,145,9.4,Night,Fri,0,9,111,Daylight,Medium
2023-01-01 07:00:00,211,35.2475,95.0087,Foggy,8.9,80,31,City,Good,1,60,264,6.0,Afternoon,Sun,0,8,738,Daylight,Medium
2023-01-01 08:00:00,932,34.9005,96.7212,Foggy,42.2,37,78,Rural,Fair,3,60,92,5.4,Morning,Tue,0,5,1258,Daylight,Medium
2023-01-01 09:00:00,482,25.3786,83.9624,Rainy,28.5,85,163,City,Good,3,80,217,7.4,Night,Mon,0,8,356,Daylight,Medium
2023-01-01 10:00:00,906,23.3703,76.6698,Snowy,8.6,53,214,City,Good,2,40,136,7.2,Afternoon,Thu,0,2,1042,Daylight,Medium
2023-01-01 11:00:00,672,13.4592,87.4858,Rainy,36.3,79,206,City,Poor,3,40,24,2.8,Night,Sun,1,3,1516,Daylight,High
2023-01-01 12:00:00,387,16.246,68.0978,Snowy,9.6,50,172,Residential,Poor,2,100,365,2.9,Morning,Tue,0,7,277,Dark,High
2023-01-01 13:00:00,706,34.1402,77.6207,Rainy,6.7,70,270,Residential,Good,1,80,357,3.5,Afternoon,Fri,0,2,1573,Dark,Medium
2023-01-01 14:00:00,371,25.7856,73.4304,Foggy,22.1,89,27,City,Good,3,80,390,9.4,Night,Wed,0,6,1643,Daylight,Medium
2023-01-01 15:00:00,782,25.3672,96.5188,Foggy,36.5,99,85,Highway,Poor,3,80,99,4.2,Evening,Mon,0,5,1235,Street Light,Medium
2023-01-01 16:00:00,243,19.0714,77.175,Foggy,41.7,54,192,Residential,Fair,1,40,51,9.1,Night,Thu,0,8,631,Dark,Medium
2023-01-01 17:00:00,628,13.3394,80.1036,Rainy,23.0,87,112,Highway,Poor,1,100,28,8.3,Afternoon,Wed,0,5,799,Daylight,High
2023-01-01 18:00:00,820,25.3838,85.7131,Snowy,19.0,43,118,Highway,Poor,1,40,213,1.1,Night,Fri,0,5,167,Street Light,High
2023-01-01 19:00:00,619,21.42,93.2075,Sunny,43.1,85,119,Residential,Fair,2,80,231,2.9,Afternoon,Fri,0,4,412,Daylight,Low
2023-01-01 20:00:00,162,15.4065,78.8611,Rainy,23.9,65,179,Residential,Fair,1,40,248,8.0,Morning,Mon,0,6,628,Daylight,Medium
2023-01-01 21:00:00,984,31.3956,83.255,Snowy,27.3,73,283,City,Poor,2,40,337,3.6,Night,Tue,1,8,1129,Daylight,High
2023-01-01 22:00:00,318,34.3184,96.3249,Foggy,18.5,37,222,Highway,Good,3,80,270,9.3,Afternoon,Sat,0,6,814,Daylight,Medium
2023-01-01 23:00:00,445,19.0983,91.5214,Cloudy,8.8,89,293,Residential,Poor,3,100,98,1.7,Afternoon,Thu,0,0,732,Daylight,High
2023-01-02 00:00:00,242,27.0913,96.643,Sunny,14.6,88,256,Residential,Poor,4,80,58,4.6,Evening,Mon,0,7,1447,Street Light,Medium
2023-01-02 01:00:00,939,27.9565,79.5237,Rainy,40.7,89,23,Rural,Poor,6,80,245,9.0,Afternoon,Thu,0,3,270,Street Light,Medium
2023-01-02 02:00:00,346,20.3957,81.5691,Snowy,24.2,31,156,Residential,Good,2,40,263,7.7,Morning,Sun,0,2,1125,Street Light,Low
2023-01-02 03:00:00,689,32.5822,73.3232,Sunny,24.9,55,135,Residential,Poor,4,100,215,3.1,Evening,Fri,0,1,1329,Daylight,Medium
2023-01-02 04:00:00,838,25.9862,86.9398,Foggy,24.8,90,164,City,Good,1,60,51,1.9,Afternoon,Sun,0,5,637,Daylight,Medium
2023-01-02 05:00:00,611,36.3357,69.7847,Foggy,11.7,55,51,City,Poor,2,60,84,7.1,Morning,Sun,0,1,997,Daylight,Medium
2023-01-02 06:00:00,228,30.3705,72.6907,Snowy,16.2,50,141,Residential,Poor,6,40,182,7.9,Afternoon,Fri,1,0,592,Daylight,Medium
2023-01-02 07:00:00,161,26.6223,72.5884,Rainy,30.2,94,67,Highway,Poor,1,40,208,7.7,Afternoon,Wed,0,8,1630,Street Light,Medium
2023-01-02 08:00:00,842,36.6572,78.7438,Cloudy,31.8,97,202,City,Good,1,100,248,9.9,Evening,Sat,0,4,109,Daylight,Medium
2023-01-02 09:00:00,130,26.6813,81.4004,Rainy,8.5,89,28,City,Poor,2,80,171,5.3,Morning,Sat,0,1,1312,Daylight,Medium
2023-01-02 10:00:00,600,8.578,83.2015,Snowy,38.1,97,220,City,Fair,4,40,30,6.4,Morning,Sat,0,1,612,Dark,Medium
2023-01-02 11:00:00,662,15.351,72.8026,Sunny,10.8,80,261,City,Poor,2,100,87,7.7,Morning,Sun,0,2,1592,Daylight,Medium
